1708366662371: GET: /api/users1708366852913: GET: /api/users

1708366888706: GET: /api/users
1708366904567: GET: /api/users
1708366915019: GET: /api/users/1001
1708367048240: GET: ::1: /api/users/1001
1708372215576: GET: ::1: /api/users
1708372250505: GET: ::1: /api/users/1001
1708372328715: GET: ::1: /api/users/1001
1708372393048: GET: ::1: /api/users
1708372431982: GET: ::1: /api/users
1708372487196: GET: ::1: /api/users
1708375445067: GET: ::1: /api/users
1708375449198: POST: ::1: /api/users
1708375454244: POST: ::1: /api/users
1708375474683: POST: ::1: /api/users
1708375805749: POST: ::1: /api/users
1708375827685: POST: ::1: /api/users
1708375833112: POST: ::1: /api/users
1708449216937: POST: ::1: /api/users
1708449558220: POST: ::1: /api/users
1708449639816: POST: ::1: /api/users
1708449761021: POST: ::1: /api/users
1708449996709: POST: ::1: /api/users
1708450046794: POST: ::1: /api/users
1708450111749: POST: ::1: /api/users
1708450136951: POST: ::1: /api/users
1708451417164: GET: ::1: /
1708451418276: GET: ::1: /
1708451427866: GET: ::1: /users
1708451427950: GET: ::1: /favicon.ico
1708451614462: POST: ::1: /api/users
1708451654611: GET: ::1: /api/users
1708451739432: GET: ::1: /api/users
1708451780967: GET: ::1: /api/users
1708451842271: GET: ::1: /api/users
1708451842658: GET: ::1: /api/users
1708452138741: GET: ::1: /api/users/65d4ddc056e92c57d5799a92
1708452656150: PATCH: ::1: /api/users/65d4ddc056e92c57d5799a92
1708452733054: GET: ::1: /api/users
1708452829059: GET: ::1: /api/users
1708452839975: DELETE: ::1: /api/users/65d4ddc056e92c57d5799a92
1708452855069: GET: ::1: /api/users
1708452892606: DELETE: ::1: /api/users65d4df1656e92c57d5799a94
1708452903021: DELETE: ::1: /api/users/65d4df1656e92c57d5799a94
1708452907526: GET: ::1: /api/users
